epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.52,0.99907,9.63686,0.69191,0.84259,1.36187,0.9527,0.93929,0.98065,0.80495,0.57064,0.30587,0.23642,0.0508,0.80996,6.82757,0.55271,0.46363,1.18105,0.00333042,0.00333042,0.00333042
2,404.963,0.88619,7.23839,0.64083,0.63172,1.25484,0.94982,0.92431,0.96996,0.78553,0.71479,0.48719,0.4705,0.21251,0.84152,5.08183,0.4382,0.50327,1.20835,0.00663076,0.00663076,0.00663076
3,600.285,0.93382,6.49978,0.58952,0.68104,1.28279,0.90351,0.90151,0.95744,0.74434,0.75571,0.50128,0.49813,0.18281,0.93672,4.92374,0.29476,0.63977,1.2747,0.00989811,0.00989811,0.00989811
4,794.477,0.96393,6.08789,0.51496,0.70707,1.2966,0.91103,0.90757,0.95718,0.76163,0.78617,0.55712,0.55292,0.30883,0.89763,4.21499,0.22086,0.57632,1.27099,0.0098515,0.0098515,0.0098515
5,987.537,0.92327,5.6537,0.46242,0.65867,1.26479,0.93876,0.93455,0.97679,0.80524,0.79439,0.62745,0.63672,0.39932,0.77381,3.68964,0.16504,0.46963,1.15896,0.009802,0.009802,0.009802
6,1180.89,0.88944,5.28704,0.43104,0.62001,1.23674,0.91962,0.88504,0.94818,0.76106,0.82507,0.58534,0.5916,0.37234,0.86857,3.99578,0.14767,0.57166,1.22356,0.0097525,0.0097525,0.0097525
7,1367.6,0.86562,5.06854,0.40589,0.60285,1.22091,0.95043,0.92089,0.96996,0.77834,0.81246,0.63076,0.64722,0.42819,0.85548,3.5334,0.12669,0.49966,1.20443,0.009703,0.009703,0.009703
8,1554.54,0.84405,4.8183,0.39057,0.57591,1.20747,0.95709,0.95415,0.98403,0.8272,0.80548,0.68673,0.68771,0.45063,0.7328,3.21119,0.11594,0.41761,1.12007,0.0096535,0.0096535,0.0096535
9,1740.04,0.83507,4.73457,0.37532,0.56481,1.19909,0.95912,0.95761,0.98447,0.82881,0.80618,0.68827,0.68551,0.45792,0.7444,3.19208,0.10323,0.40411,1.13157,0.009604,0.009604,0.009604
10,1926.17,0.82202,4.61288,0.37016,0.55947,1.19291,0.95891,0.95938,0.98582,0.83736,0.82938,0.68776,0.70009,0.48908,0.71425,3.07394,0.08754,0.39497,1.09835,0.0095545,0.0095545,0.0095545
11,2113.2,0.80899,4.48773,0.36465,0.53958,1.18341,0.95929,0.95659,0.98681,0.85056,0.81685,0.72144,0.73665,0.51677,0.68589,2.93077,0.08034,0.37809,1.07568,0.009505,0.009505,0.009505
